Arcavi et al. (2015)           |                    Not explained in the paper
Ashall et al. (2015)           |                    Not explained in the paper
Balam & Graham (2015a)         |                    Not explained in the paper
Balam & Graham (2015b)         |                    Not explained in the paper
Balam & Graham (2015c)         |                    Not explained in the paper
Balam & Graham (2015d)         |                    Not explained in the paper
Balam & Graham (2015e)         |                    Not explained in the paper
Balam & Graham (2015f)         |                    Not explained in the paper
Balam & Graham (2015g)         |                    Not explained in the paper
Balanutsa et al. (2015)        |2015ATel.7040....1B
Benetti et al. (2015a)         |                    Not explained in the paper 
Benetti et al. (2015b)         |                    Not explained in the paper 
Benetti et al. (2015c)         |                    Not explained in the paper 
Benetti et al. (2015d)         |                    Not explained in the paper
Bersier (2016)                 |                    Not explained in the paper
Bersier et al. (2015)          |                    Not explained in the paper
Bock et al. (2015)             |                    Not explained in the paper
Brimacombe et al. (2015a)      |2015ATel.6921....1B
Brimacombe et al. (2015aa)     |                    Not explained in the paper
Brimacombe et al. (2015ab)     |                    Not explained in the paper
Brimacombe et al. (2015ac)     |                    Not explained in the paper
Brimacombe et al. (2015ad)     |                    Not explained in the paper
Brimacombe et al. (2015ae)     |                    Not explained in the paper
Brimacombe et al. (2015af)     |                    Not explained in the paper
Brimacombe et al. (2015ag)     |                    Not explained in the paper
Brimacombe et al. (2015ah)     |                    Not explained in the paper
Brimacombe et al. (2015ai)     |                    Not explained in the paper
Brimacombe et al. (2015aj)     |                    Not explained in the paper
Brimacombe et al. (2015ak)     |                    Not explained in the paper
Brimacombe et al. (2015al)     |                    Not explained in the paper
Brimacombe et al. (2015am)     |                    Not explained in the paper
Brimacombe et al. (2015an)     |                    Not explained in the paper
Brimacombe et al. (2015ao)     |                    Not explained in the paper
Brimacombe et al. (2015ap)     |                    Not explained in the paper
Brimacombe et al. (2015aq)     |                    Not explained in the paper
Brimacombe et al. (2015ar)     |                    Not explained in the paper
Brimacombe et al. (2015as)     |                    Not explained in the paper
Brimacombe et al. (2015at)     |                    Not explained in the paper
Brimacombe et al. (2015au)     |                    Not explained in the paper
Brimacombe et al. (2015av)     |                    Not explained in the paper
Brimacombe et al. (2015aw)     |                    Not explained in the paper
Brimacombe et al. (2015ax)     |                    Not explained in the paper
Brimacombe et al. (2015ay)     |                    Not explained in the paper
Brimacombe et al. (2015az)     |                    Not explained in the paper
Brimacombe et al. (2015b)      |2015ATel.6943....1B
Brimacombe et al. (2015ba)     |                    Not explained in the paper
Brimacombe et al. (2015bb)     |                    Not explained in the paper
Brimacombe et al. (2015bc)     |                    Not explained in the paper
Brimacombe et al. (2015bd)     |                    Not explained in the paper
Brimacombe et al. (2015c)      |2015ATel.6950....1B
Brimacombe et al. (2015d)      |2015ATel.6959....1B
Brimacombe et al. (2015e)      |2015ATel.6984....1B
Brimacombe et al. (2015f)      |                    Not explained in the paper
Brimacombe et al. (2015g)      |                    Not explained in the paper
Brimacombe et al. (2015h)      |                    Not explained in the paper
Brimacombe et al. (2015i)      |                    Not explained in the paper
Brimacombe et al. (2015j)      |                    Not explained in the paper
Brimacombe et al. (2015k)      |                    Not explained in the paper
