"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"49003","SN 2019waa","00:51:39.020","+45:09:04.39","SN Ia","0.08","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF19acvwllm","Gaia - Gaia-photometric, P48 - ZTF-Cam","LT - SPRAT","1","1","","18.99","r-ZTF","2019-12-02 03:49:33.000","ZTF_AMPEL_COMPLETE","","2019TNSTR2514....1N","2019TNSCR2661....1T",""
"48982","SN 2019vzf","01:44:21.380","+50:06:55.94","SN Ia","0.06","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF19acwrqtv","Gaia - Gaia-photometric, P48 - ZTF-Cam","LT - SPRAT","1","1","","18.76","r-ZTF","2019-12-02 03:41:45.000","ZTF_TESS","","2019TNSTR2513....1F","2019TNSCR2661....1T",""
"48973","SN 2019vyw","08:12:00.633","+31:49:34.98","SN Ia","0.149","","","SGLF, Pan-STARRS","ZTF, Pan-STARRS","None","Pan-STARRS","SGLF2, ZTF19acsaoxd","P48 - ZTF-Cam, PS2 - GPC2","LT - SPRAT","1","1","","20.251","g-ZTF","2019-11-09 13:11:30.000","Perez-Fournon","","2019TNSTR2501....1P","2019TNSCR2505....1S",""
"48962","SN 2019vyl","23:11:09.399","+03:32:58.22","SN Ia","0.07","","","ZTF","ZTF","ZTF","ZTF","ZTF19acvgjme","P48 - ZTF-Cam","LT - SPRAT","1","1","","19.72","g-ZTF","2019-11-25 03:53:24.000","ZTF_AMPEL_NEW","","2019TNSTR2504....1N","2019TNSCR2661....1T",""
"48873","SN 2019vva","23:06:00.914","+00:18:40.66","SN Ia","0.0746","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19bcew","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.087","orange-ATLAS","2019-11-29 06:56:09.000","ATLAS_Bot1","","2019TNSTR2486....1T","2019TNSCR2660....1D",""
"48868","SN 2019vuv","07:13:21.322","+60:52:02.03","SN Ia","0.086","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19bcei","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.564","cyan-ATLAS","2019-11-29 11:21:07.000","ATLAS_Bot1","","2019TNSTR2486....1T","2019TNSCR2586....1D",""
"48866","SN 2019vut","04:40:51.684","-15:59:24.70","SN Ia","0.055","","","ATLAS, ZTF","ATLAS, ZTF","ePESSTO+, ZTF","ATLAS; ZTF","ATLAS19bced","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","19.016","orange-ATLAS","2019-11-29 10:24:57.000","ATLAS_Bot1","","2019TNSTR2486....1T","2019TNSCR2535....1W, 2020TNSCR1477....1D",""
"48854","SN 2019vuh","03:26:42.374","-23:29:55.69","SN Ia","0.036","","","Pan-STARRS, ATLAS, ZTF","Pan-STARRS, ATLAS, ZTF","None","ATLAS; Pan-STARRS; ZTF","PS19gus","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","WHT-4.2m - ACAM","1","1","","19.86","w-P1","2019-11-28 08:34:04.000","PS1_Bot1","","2019TNSTR2489....1C","2019TNSCR2594....1P",""
"48844","SN 2019vtx","08:17:33.800","+56:02:54.76","SN Ia","0.0369","","","ATLAS, ALeRCE, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19bbyw","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.014","cyan-ATLAS","2019-11-29 12:43:12.000","ATLAS_Bot1","","2019TNSTR2486....1T","2019TNSCR2586....1D",""
"48807","SN 2019vsm","05:45:05.885","+15:30:37.30","SN Ia","0.04","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ePESSTO+, ZTF","ATLAS; Pan-STARRS; ZTF","ATLAS19bbnc","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.842","cyan-ATLAS","2019-11-28 10:50:52.000","ATLAS_Bot1","","2019TNSTR2477....1T","2019TNSCR2552....1I, 2019TNSCR2899....1D",""
"48804","SN 2019vsj","11:24:33.921","+34:31:47.89","SN Ia","0.0416","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19bbmw","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.824","cyan-ATLAS","2019-11-28 15:00:00.000","ATLAS_Bot1","","2019TNSTR2477....1T","2019TNSCR2586....1D",""
"48795","SN 2019vsa","12:05:47.580","-27:56:38.65","SN Ia","0.006102","","","ATLAS, GaiaAlerts, PSH","ATLAS, GaiaAlerts, PSH","Global SN Project","ATLAS; GaiaAlerts; PSH","ATLAS19bbmq","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, Other - Other","FTS - FLOYDS-S","1","1","","14.658","orange-ATLAS","2019-11-28 14:58:33.000","ATLAS_Bot1","","2019TNSTR2477....1T","2019TNSCR2484....1H",""
"48788","SN 2019vrt","22:36:50.745","+18:22:44.84","SN Ia","0.0761","","","ATLAS, ZTF, ALeRCE","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19bblu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","Lick-3m - KAST","1","1","","19.529","cyan-ATLAS","2019-11-28 06:24:28.000","ATLAS_Bot1","","2019TNSTR2471....1T","2020TNSCR..27....1G",""
"48785","SN 2019vrq","03:04:21.451","-16:01:26.87","SN Ia-91T-like","0.013","GALEXASC J030421.67-160124.7","0.013079","ASAS-SN, ATLAS, MASTER, Pan-STARRS","ASAS-SN, ATLAS, MASTER, Pan-STARRS","ePESSTO+, None","ASAS-SN; ATLAS; MASTER; Pan-STARRS","ASASSN-19aca","ASASSN-3 - Paczynski, ATLAS-MLO - ATLAS-01, Other - Other, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT, Lijiang-2.4m - YFOSC","1","1","","17","g-Sloan","2019-11-28 05:45:36.000","Stanek","","2019TNSTR2470....1S","2019TNSCR2483....1I, 2019TNSCR2898....1Z",""
"48784","SN 2019vrp","01:07:21.380","+09:45:36.47","SN Ia","0.039","2MFGC 00814","0.039","ASAS-SN, Pan-STARRS, ATLAS, GaiaAlerts","ASAS-SN, Pan-STARRS, ATLAS, GaiaAlerts","ASAS-SN","ASAS-SN; ATLAS; GaiaAlerts; Pan-STARRS","ASASSN-19abz","ASASSN-2 - Cassius, ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, PS1 - GPC1, PS2 - GPC2","LT - SPRAT","1","1","","17.664","g-Sloan","2019-11-28 01:30:43.000","Bersier","","2019TNSTR2469....1B","2019TNSCR2491....1B",""
"48783","SN 2019vro","10:41:42.710","+06:11:49.70","SN Ia","0.033","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ePESSTO+","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS19bbhx","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.014","cyan-ATLAS","2019-11-27 15:37:26.000","ATLAS_Bot1","","2019TNSTR2471....1T","2019TNSCR2543....1I",""
"48781","SN 2019vrm","00:20:18.301","-05:18:24.99","SN Ia","0.068","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ePESSTO+","Pan-STARRS; ZTF","ZTF19aculczm","P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.93","g-ZTF","2019-11-24 04:06:14.000","ZTF_Bot1","","2019TNSTR2472....1F","2019TNSCR2557....1I",""
"48775","SN 2019vrg","06:40:02.842","+60:03:07.93","SN Ia","0.14","","","Pan-STARRS, ATLAS","Pan-STARRS, ATLAS","Padova-Asiago","ATLAS; Pan-STARRS","PS19gtz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS1 - GPC1","Ekar - AFOSC","1","1","","19.7","w-P1","2019-11-26 14:42:43.000","PS1_Bot1","","2019TNSTR2462....1C","2019TNSCR2544....1O",""
"48772","SN 2019vrd","08:52:22.400","-20:17:31.27","SN Ia","0.052","","","ATLAS, GaiaAlerts, ZTF","ATLAS, GaiaAlerts, ZTF","ePESSTO+, ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS19bbhj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.966","cyan-ATLAS","2019-11-26 15:36:00.000","ATLAS_Bot1","","2019TNSTR2460....1T","2019TNSCR2474....1W, 2020TNSCR1499....1D",""
"48767","SN 2019vqy","05:54:01.669","+31:25:23.13","SN Ia","0.05","","","ATLAS","ATLAS","None","ATLAS","ATLAS19bbfk","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","Lijiang-2.4m - YFOSC","1","1","","18.913","orange-ATLAS","2019-11-26 14:03:50.000","ATLAS_Bot1","","2019TNSTR2460....1T","2019TNSCR2467....1Z",""
"48755","SN 2019vqm","13:32:18.387","+07:56:25.68","SN Ia","0.0236","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ATLAS19bbfc","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","17.2","orange-ATLAS","2019-11-26 15:18:43.000","ATLAS_Bot1","","2019TNSTR2454....1T","2019TNSCR2737....1P",""
"48747","SN 2019vqf","06:15:16.954","-45:19:06.38","SN Ia","0.066","WISEA J061517.03-451903.1","","ASAS-SN","ASAS-SN","ePESSTO+","ASAS-SN","ASASSN-19abx","ASASSN-5 - Payne-Gaposchkin","ESO-NTT - EFOSC2-NTT","1","1","","17.9","g-Sloan","2019-11-26 00:57:36.000","Stanek","","2019TNSTR2452....1S","2019TNSCR2465....1W",""
"48744","SN 2019vqc","05:00:47.230","-45:52:24.74","SN Ia","0.049","6dF J0500474-455225","0.049187","ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts","ePESSTO+","ASAS-SN; GaiaAlerts","ASASSN-19abw","ASASSN-3 - Paczynski, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","17.7","g-Sloan","2019-11-24 06:28:48.000","Stanek","","2019TNSTR2453....1W","2019TNSCR2557....1I",""
"48743","SN 2019vqb","00:46:25.055","+20:25:18.40","SN Ia","0.1","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ATLAS19baxw","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","18.598","orange-ATLAS","2019-11-26 07:23:31.000","ATLAS_Bot1","","2019TNSTR2454....1T","2019TNSCR2662....1P",""
"48741","SN 2019vpz","01:18:33.390","-00:13:41.66","SN Ia","0.05","","","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ZTF19acvijnj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","","1","1","","20.1188","r-ZTF","2019-11-24 03:33:50.000","ZTF_CLU_PUBLIC","","2019TNSTR2457....1D","2019TNSCR2519....1D",""
"48730","SN 2019vpo","07:03:04.910","+71:53:19.61","SN Ia","0.083","WISEA J070305.50+715322.4","","ALeRCE, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","TCD","ALeRCE; ATLAS; GaiaAlerts","ZTF19acvlycr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","LT - SPRAT","1","1","","19.9598","r-ZTF","2019-11-25 07:19:10.000","ALeRCE","","2019TNSTR2440....1F","2019TNSCR2649....1P",""
"48714","SN 2019voy","23:40:45.694","-14:59:23.01","SN Ia","0.08","WISEA J234045.59-145926.2","","ALeRCE, ATLAS","ZTF, ATLAS","ePESSTO+","ALeRCE; ATLAS","ZTF19acvgbqr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.5996","g-ZTF","2019-11-25 03:23:18.000","ALeRCE","","2019TNSTR2440....1F","2019TNSCR2552....1I",""
