"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"117758","SN 2022xbs","16:53:19.280","+43:23:42.03","SN Ia","0.056","","","ZTF","ZTF","ZTF","ZTF","ZTF22abjrctf","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.84","g-ZTF","2022-10-01 03:23:02.400","ZTF_Bot1","","2022TNSTR2935....1F","2022TNSCR2946....1F",""
"117648","SN 2022wxr","08:43:08.790","+73:48:31.22","SN Ia","0.035","","","ZTF","ZTF","ZTF","ZTF","ZTF22ablhftq","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.21","g-ZTF","2022-10-05 11:16:48.000","ZTF_Bot1","","2022TNSTR2919....1F","2022TNSCR2946....1F",""
"117645","SN 2022wxo","01:56:17.670","-07:41:58.10","SN Ia","0.05","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF22abkpkej","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.07","g-ZTF","2022-10-03 08:49:55.200","ZTF_Bot1","","2022TNSTR2919....1F","2022TNSCR2922....1F",""
"117624","SN 2022wwt","17:48:28.281","-60:34:29.29","SN Ia","0.0198","","","ATLAS","ATLAS","DEbass","ATLAS","ATLAS22bhyr","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ANU-2.3m - WiFeS","1","1","","18.071","orange-ATLAS","2022-10-01 17:35:50.208","ATLAS_Bot1","","2022TNSTR2902....1T","",""
"117575","SN 2022wuy","06:44:23.342","+32:14:53.28","SN Ia","0.078","","","ZTF, Fink","ZTF","ZTF","Fink; ZTF","ZTF22ablhldn","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.62","r-ZTF","2022-09-29 10:50:52.800","ZTF_Bot1","","2022TNSTR2895....1F","2022TNSCR2932....1F",""
"117541","SN 2022wtq","16:22:17.005","+23:20:09.43","SN Ia","0.063","","","ZTF, ATLAS, YSE","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; YSE; ZTF","ZTF22abjrqxz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.21","r-ZTF","2022-10-01 04:13:26.400","ZTF_Bot1","","2022TNSTR2895....1F","",""
"117529","SN 2022wte","09:53:10.713","+07:52:30.48","SN Ia","0.040697","","","ZTF","ZTF","ZTF","ZTF","ZTF22abksuwt","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.93","r-ZTF","2022-10-03 12:33:07.200","ZTF_Bot1","","2022TNSTR2885....1F","",""
"117519","SN 2022wsu","02:16:11.652","+17:58:15.44","SN Ia","0.027","","","Pan-STARRS, ATLAS","Pan-STARRS, ATLAS","QUB","ATLAS; Pan-STARRS","PS22jum","ATLAS-HKO - ATLAS-02, PS2 - GPC2","LT - SPRAT","1","1","","17.2","w-P1","2022-10-02 10:02:34.080","PS1_Bot1","","2022TNSTR2884....1C","2022TNSCR2920....1F",""
"117444","SN 2022wpy","04:46:28.020","-04:47:23.51","SN Ia","0.0152","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","None, ZTF","ATLAS; Pan-STARRS; ZTF","ATLAS22bhuw","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","Other - Other, P60 - SEDM","1","1","","18.968","orange-ATLAS","2022-10-03 06:40:33.888","ATLAS_Bot1","","2022TNSTR2869....1T","2022TNSCR2888....1T, 2022TNSCR2889....1F",""
"117435","SN 2022wpp","16:41:49.910","+15:15:45.37","SN Ia","0.055","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF22abjrpmv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.22","r-ZTF","2022-10-01 04:10:33.600","ZTF_Bot1","","2022TNSTR2873....1F","",""
