"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"1398","SN 1998cs","16:30:39.221","+41:12:54.40","SN Ia","","UGC 10432       ","","","","","","","","","0","1","","17.5","","1998-06-29 00:00:00.000","","[Discoverer=Puckett; DiscoveryRef=IAUC 6957; PositionRef=IAUC 6957; Orig Type=Ia   ]","","",""
"1396","SN 1998cq","00:45:06.110","-63:49:50.41","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.3","","1998-06-17 00:00:00.000","","[Discoverer=Mount Stromlo Abell Cluster Supernova Search Team; DiscoveryRef=IAUC 6955; PositionRef=IAUC 6955; Orig Type=Ia   ]","","",""
"1394","SN 1998co","21:47:36.451","-13:10:42.31","SN Ia","","NGC 7131        ","","","","","","","","","0","1","","16","","1998-06-21 00:00:00.000","","[Discoverer=Johnson; DiscoveryRef=IAUC 6950; PositionRef=IAUC 7083; Orig Type=Ia   ]","","",""
"1393","SN 1998cn","11:35:54.401","+70:32:10.21","SN Ia","","NGC 3735        ","","","","","","","","","0","1","","15.8","","1998-06-17 00:00:00.000","","[Discoverer=Schwartz; DiscoveryRef=IAUC 6944; PositionRef=IAUC 6944; Orig Type=Ia   ]","","",""
"1392","SN 1998cm","13:44:12.970","+03:00:40.28","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.6","","1998-06-10 00:00:00.000","","[Discoverer=Mount Stromlo Abell Cluster Supernova Search Team; DiscoveryRef=IAUC 6943; PositionRef=IAUC 6943; Orig Type=Ia   ]","","",""
"1391","SN 1998cl","13:29:59.801","+75:34:09.01","SN Ia","","Anon.           ","","","","","","","","","0","1","","17","","1998-06-03 00:00:00.000","","[Discoverer=Schwartz; DiscoveryRef=IAUC 6934; PositionRef=IAUC 6934; Orig Type=Ia   ]","","",""
"1390","SN 1998ck","09:41:06.000","-29:06:17.71","SN Ia","","ESO 434-G20     ","","","","","","","","","0","1","","17","","1998-05-31 00:00:00.000","","[Discoverer=Wischnjewsky; DiscoveryRef=IAUC 6925; PositionRef=IAUC 6925; Orig Type=Ia   ]","","",""
"1388","SN 1998ci","12:41:01.121","-06:39:48.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","18","","1998-05-19 00:00:00.000","","[Discoverer=EROS; DiscoveryRef=IAUC 6921; PositionRef=IAUC 6921; Orig Type=Ia   ]","","",""
"1386","SN 1998cg","12:18:18.130","+20:44:26.02","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","1998-05-01 00:00:00.000","","[Discoverer=Gal-Yam, Maoz; DiscoveryRef=IAUC 6917; PositionRef=IAUC 6917; Orig Type=Ia   ]","","",""
"1383","SN 1998cd","10:45:04.159","+39:25:12.50","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.5","","1998-05-17 00:00:00.000","","[Discoverer=Mueller; DiscoveryRef=IAUC 6909; PositionRef=IAUC 6909; Orig Type=Ia   ]","","",""
"1373","SN 1998bu","10:46:46.030","+11:50:07.12","SN Ia","","NGC 3368        ","","","","","","","","","0","1","","13","","1998-05-09 00:00:00.000","","[Discoverer=Villi; DiscoveryRef=IAUC 6899; PositionRef=IAUC 6899; Orig Type=Ia   ]","","",""
"1368","SN 1998bp","17:54:50.710","+18:19:49.30","SN Ia","","NGC 6495        ","","","","","","","","","0","1","","14.8","","1998-04-29 00:00:00.000","","[Discoverer=Armstrong; DiscoveryRef=IAUC 6890; PositionRef=IAUC 6890; Orig Type=Ia   ]","","",""
"1363","SN 1998bk","13:48:48.250","+02:58:41.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","1998-03-22 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6881; PositionRef=IAUC 6881; Orig Type=Ia   ]","","",""
"1361","SN 1998bi","13:47:44.719","+02:20:57.19","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.7","","1998-03-22 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6881; PositionRef=IAUC 6881; Orig Type=Ia   ]","","",""
"1357","SN 1998be","13:46:20.890","+02:02:40.42","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.8","","1998-03-22 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6881; PositionRef=IAUC 6881; Orig Type=Ia   ]","","",""
"1356","SN 1998bd","13:45:29.050","+01:57:32.51","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.2","","1998-03-22 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6881; PositionRef=IAUC 6881; Orig Type=Ia   ]","","",""
"1355","SN 1998bc","13:45:10.140","+02:23:52.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","1998-03-22 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6881; PositionRef=IAUC 6881; Orig Type=Ia   ]","","",""
"1354","SN 1998bb","13:43:53.580","+01:25:33.71","SN Ia","","Anon.           ","","","","","","","","","0","1","","24","","1998-03-22 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6881; PositionRef=IAUC 6881; Orig Type=Ia   ]","","",""
"1353","SN 1998ba","13:43:36.919","+02:19:30.61","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","1998-03-22 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6881; PositionRef=IAUC 6881; Orig Type=Ia   ]","","",""
"1351","SN 1998az","10:57:21.780","-03:25:23.02","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.7","","1998-03-22 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6881; PositionRef=IAUC 6881; Orig Type=Ia   ]","","",""
"1350","SN 1998ay","10:57:21.509","-03:14:49.88","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.9","","1998-03-22 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6881; PositionRef=IAUC 6881; Orig Type=Ia   ]","","",""
"1349","SN 1998ax","10:57:16.380","-03:33:59.18","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","1998-03-22 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6881; PositionRef=IAUC 6881; Orig Type=Ia   ]","","",""
"1348","SN 1998aw","10:56:15.019","-04:15:21.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","25","","1998-03-22 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6881; PositionRef=IAUC 6881; Orig Type=Ia   ]","","",""
"1344","SN 1998as","10:53:56.220","-03:39:10.01","SN Ia","","Anon.           ","","","","","","","","","0","1","","22","","1998-03-22 00:00:00.000","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6881; PositionRef=IAUC 6881; Orig Type=Ia   ]","","",""
"1342","SN 1998aq","11:56:25.999","+55:07:38.78","SN Ia","","NGC 3982        ","","","","","","","","","0","1","","14.9","","1998-04-13 00:00:00.000","","[Discoverer=Armstrong; DiscoveryRef=IAUC 6875; PositionRef=IAUC 6875; Orig Type=Ia   ]","","",""
"1339","SN 1998an","07:08:17.040","+46:06:55.30","SN Ia","","UGC 3683        ","","","","","","","","","0","1","","15.3","","1998-04-06 00:00:00.000","","[Discoverer=Arbour; DiscoveryRef=IAUC 6871; PositionRef=IAUC 6871; Orig Type=Ia   ]","","",""
"1337","SN 1998al","13:43:05.371","-00:25:43.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.4","","1998-03-26 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6861; PositionRef=IAUC 6861; Orig Type=Ia   ]","","",""
"1336","SN 1998ak","13:44:16.219","-00:10:49.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.7","","1998-03-26 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6861; PositionRef=IAUC 6861; Orig Type=Ia?  ]","","",""
